cp_white,cp_black,player,diff_level
0.220000,-0.220000,0,0
0.200000,-0.200000,1,0
-0.470000,0.470000,0,0
-0.440000,0.440000,1,0
0.020000,-0.020000,0,0
-0.190000,0.190000,1,0
-0.090000,0.090000,0,0
-0.080000,0.080000,1,0
-0.230000,0.230000,0,0
-0.130000,0.130000,1,0
-0.120000,0.120000,0,0
-0.290000,0.290000,1,0
-0.230000,0.230000,0,0
-0.130000,0.130000,1,0
-0.270000,0.270000,0,0
-0.260000,0.260000,1,0
-0.370000,0.370000,0,0
-0.370000,0.370000,1,0
-0.390000,0.390000,0,0
0.110000,-0.110000,1,0
-1.030000,1.030000,0,0
1.630000,-1.630000,1,0
3.470000,-3.470000,0,0
-2.590000,2.590000,1,0
5.340000,-5.340000,0,0
-2.450000,2.450000,1,0
3.080000,-3.080000,0,0
-2.880000,2.880000,1,0
-3.050000,3.050000,0,0
-2.800000,2.800000,1,0
2.330000,-2.330000,0,0
-2.820000,2.820000,1,0
-2.890000,2.890000,0,0
-3.010000,3.010000,1,0
2.580000,-2.580000,0,0
-2.950000,2.950000,1,0
-0.020000,0.020000,0,0
-0.060000,0.060000,1,0
-0.360000,0.360000,0,0
-0.620000,0.620000,1,0
0.550000,-0.550000,0,0
0.260000,-0.260000,1,0
-0.870000,0.870000,0,0
-1.330000,1.330000,1,0
-0.830000,0.830000,0,0
-1.270000,1.270000,1,0
-0.790000,0.790000,0,0
